city,country,date,temp_max,temp_min,precip_sum,precip_prob_max,weather_code,extracted_at
Chiang Mai,Thailand,2026-04-06,39.6,25.4,0.0,0,3,2026-04-01T09:53:09.027697+00:00
Chiang Mai,Thailand,2026-04-07,39.7,24.8,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Phuket,Thailand,2026-03-31,29.6,28.0,20.9,83,96,2026-04-01T09:53:09.027697+00:00
Phuket,Thailand,2026-04-01,29.8,27.9,8.7,43,96,2026-04-01T09:53:09.027697+00:00
Phuket,Thailand,2026-04-02,32.0,28.3,2.4,45,80,2026-04-01T09:53:09.027697+00:00
Phuket,Thailand,2026-04-03,31.3,28.3,0.0,20,2,2026-04-01T09:53:09.027697+00:00
Phuket,Thailand,2026-04-04,30.4,28.7,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Phuket,Thailand,2026-04-05,30.1,29.1,0.7,30,2,2026-04-01T09:53:09.027697+00:00
Phuket,Thailand,2026-04-06,29.7,28.6,5.0,35,80,2026-04-01T09:53:09.027697+00:00
Phuket,Thailand,2026-04-07,29.4,28.4,16.0,28,95,2026-04-01T09:53:09.027697+00:00
Hanoi,Vietnam,2026-03-31,32.6,23.9,17.6,88,96,2026-04-01T09:53:09.027697+00:00
Hanoi,Vietnam,2026-04-01,24.9,23.0,12.7,88,95,2026-04-01T09:53:09.027697+00:00
Hanoi,Vietnam,2026-04-02,31.0,22.1,0.0,20,3,2026-04-01T09:53:09.027697+00:00
Hanoi,Vietnam,2026-04-03,32.8,23.6,0.0,2,45,2026-04-01T09:53:09.027697+00:00
Hanoi,Vietnam,2026-04-04,29.7,24.8,0.0,23,3,2026-04-01T09:53:09.027697+00:00
Hanoi,Vietnam,2026-04-05,34.0,24.1,0.0,0,3,2026-04-01T09:53:09.027697+00:00
Hanoi,Vietnam,2026-04-06,37.6,24.6,0.0,3,45,2026-04-01T09:53:09.027697+00:00
Hanoi,Vietnam,2026-04-07,36.4,25.1,0.0,4,2,2026-04-01T09:53:09.027697+00:00
Ho Chi Minh City,Vietnam,2026-03-31,34.8,23.9,0.0,0,3,2026-04-01T09:53:09.027697+00:00
Ho Chi Minh City,Vietnam,2026-04-01,34.8,24.9,0.0,0,3,2026-04-01T09:53:09.027697+00:00
Ho Chi Minh City,Vietnam,2026-04-02,35.0,24.8,0.0,0,3,2026-04-01T09:53:09.027697+00:00
Ho Chi Minh City,Vietnam,2026-04-03,34.7,24.0,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Ho Chi Minh City,Vietnam,2026-04-04,36.4,24.9,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Ho Chi Minh City,Vietnam,2026-04-05,36.5,24.8,0.0,0,2,2026-04-01T09:53:09.027697+00:00
